0,chronometric cognitive tests,chronometric cognitive tests
1,face state video recognition,face state video recognition
2,eye tracker,eye tracker
3,angular velocity,angular velocity
4,vehicle-related measurements,vehicle-related measurements
5,eye blinking rate,eye blinking rate
5,eye blinks rate,eye blinking rate
5,average eyes blinking time,eye blinking rate
5,eye blink rate,eye blinking rate
6,biosignal sensors,biosignal sensors
7,breath rate,breath rate
8,traditional image processing,traditional image processing
9,facial action analysis,facial behavior analysis
9,facial behavior,facial behavior analysis
9,facial behavior analysis,facial behavior analysis
10,body posture,body posture
10,body posture analysis,body posture
11,steering corrections,steering corrections
12,facial photographs,facial images
12,facial image,facial images
12,facial images,facial images
13,electroencephalography,electroencephalogram
13,electroencephalograph,electroencephalogram
13,electroencephalograms,electroencephalogram
13,electroencephalogram,electroencephalogram
14,ir images,infrared images
14,infrared image,infrared images
14,infrared images,infrared images
15,yawning detection,yawning detection
15,yawn detection,yawning detection
16,subjective fatigue reporting,subjective fatigue report
16,subjective fatigue report,subjective fatigue report
16,subjective fatigue ratings,subjective fatigue report
17,facial landmarks analysis,facial landmarks detection
17,facial landmark detection,facial landmarks detection
17,facial landmarks detection,facial landmarks detection
18,microwave doppler radar,microwave doppler radar
19,heartbeat measurement,heartbeat measurement
20,mouth,mouth
21,lane position variability,lane position variability
21,lateral lane position variability,lane position variability
22,eye closeness,eye closeness
23,visual features,visual features
23,visual-feature,visual features
24,pupillography (pupil unrest index),pupillography (pupil unrest index)
25,vehicle driving data,vehicle driving data
25,driving data,vehicle driving data
26,rppg,rppg
27,video camera,video camera
28,respiratory signal analysis,respiratory signal
28,respiratory signals,respiratory signal
28,breathing signal,respiratory signal
28,respiratory signal,respiratory signal
29,accelerometers,accelerometers
29,accelerometer,accelerometers
30,subjective rating,subjective rating
30,subjective ratings,subjective rating
31,polygraph (pg),polygraph (pg)
32,head movement,head movement
32,head motion,head movement
32,head-movement,head movement
32,head movements,head movement
33,perclos measurement,perclos measurement
33,perclos index measurement,perclos measurement
34,spectrum entropy,spectrum entropy
35,physiological data readings,physiological data readings
35,physiological data,physiological data readings
35,physiological data acquisition,physiological data readings
36,grip pressure,grip pressure
37,steering wheel motion,steering wheel motion
38,mouth movement detection,mouth movement detection
38,mouth movement analysis,mouth movement detection
39,closed eye duration,closed eye duration
40,eye movement measures,eye movement measures
40,eye-movement frequency,eye movement measures
40,eye-movement measurement,eye movement measures
40,eye movement parameters,eye movement measures
41,subjective sleepiness ratings,subjective sleepiness ratings
41,sleepiness ratings,subjective sleepiness ratings
42,body acceleration,body acceleration
43,skin tone,skin tone
44,sdlat,sdlat
45,eye aspect ratio,eye aspect ratio
45,eye aspect ratios,eye aspect ratio
46,reflective photoplethysmography,reflective photoplethysmography
47,temperature measurement,temperature measurement
48,surface emg,surface emg
49,eyelid activity,eyelid movements
49,eyelid movements,eyelid movements
49,eyelid movement,eyelid movements
49,amplitude of eyelid movements,eyelid movements
50,equipment-based data,equipment-based data
51,facial features detection,facial features detection
51,facial feature detection,facial features detection
52,reaction time variables,reaction time variables
53,task performance,task performance
54,pro-saccades,pro-saccades
55,statistics of blink duration,blink duration
55,blink interval,blink duration
55,mean blink duration,blink duration
55,blink duration,blink duration
55,eye blink duration,blink duration
55,blink time calculation,blink duration
55,blink interval duration,blink duration
55,blinking duration,blink duration
55,blink duration time,blink duration
56,psychomotor vigilance test,psychomotor vigilance test
56,3-min psychomotor vigilance test,psychomotor vigilance test
57,contact sensors,contact sensors
58,wrist activity,wrist activity
59,speech techniques,speech techniques
60,driving behavior,driving behavior
60,driving behaviors,driving behavior
61,color and intensity mapping,color and intensity mapping
62,electrooculography,electrooculography
63,gabor wavelet filter,gabor wavelet filter
64,fixation time,fixation time
65,galvanic skin resistance,galvanic skin resistance
66,hough transformation,hough transformation
67,lane departure,lane departure
68,speed monitoring,speed monitoring
69,acoustic signals,acoustic signals
70,image recognition,image recognition
71,behavioral data,behavioral data
72,seat pressure,seat pressure
72,seat interface pressure,seat pressure
72,pressure between driver and seat,seat pressure
73,pulse wave velocity,pulse wave velocity
74,gray scale projection,gray scale projection
74,horizontal gray-level projection,gray scale projection
75,pupil size,pupil diameter
75,pupil diameter size,pupil diameter
75,average pupil diameter,pupil diameter
75,initial pupil diameter,pupil diameter
75,pupil diameter,pupil diameter
75,pupil size variation,pupil diameter
75,relative pupil diameter,pupil diameter
75,pupillary diameter,pupil diameter
76,facial rotary angle,facial rotary angle
77,hrv,hrv
78,questionnaires,questionnaire
78,questionnaire,questionnaire
79,lf,lf
80,viola-jones method,viola-jones method
80,viola and jones method,viola-jones method
81,facial landmark-based,facial landmark features
81,facial landmarks,facial landmark features
81,facial landmark features,facial landmark features
81,facial landmark,facial landmark features
82,face emotion recognition,emotion recognition
82,emotion recognition,emotion recognition
83,mackworth clock test,mackworth clock test
84,head orientation,head orientation
85,skin conductance (sc),skin conductance (sc)
85,skin conductance response,skin conductance (sc)
86,heart rate,heart rate
86,heart beat rate,heart rate
86,heart rates,heart rate
87,vehicle kinematics signals,vehicle kinematics signals
88,haar-like algorithm,haar-like algorithm
88,haar algorithm,haar-like algorithm
89,electrocardiogram (ecg),electrocardiograph (ecg)
89,electrocardiography (ecg),electrocardiograph (ecg)
89,electrocardiograph,electrocardiograph (ecg)
89,electrocardiograph (ecg),electrocardiograph (ecg)
90,semi-dry electrode,semi-dry electrode
